"sku","name","selling_price","original_price","discount","availability","color","category","breadcrumbs","average_rating","reviews_count"
"H07758","Essentials Loose Logo Tank Top",20,25,5,"InStock","Purple","Clothing","Women/Clothing",4.8,116
"H07757","Essentials Loose Logo Tank Top",20,25,5,"InStock","Pink","Clothing","Women/Clothing",4.8,116
"H07756","Essentials Loose Logo Tank Top",20,25,5,"InStock","Green","Clothing","Women/Clothing",4.8,116
"GN9137","Formotion Sculpt Tights",48,80,32,"InStock","Blue","Clothing","Women/Clothing",4.2,144
"FZ1757","Marvel X Ghosted.3 Firm Ground Cleats",64,80,16,"InStock","Blue","Shoes","Soccer/Shoes",4.4,160
"GY5110","Pureboost 21 Shoes",91,130,39,"InStock","Purple","Shoes","Women/Shoes",4.5,63
"GZ8209","Lite Racer BYD 2.0 Shoes",56,70,14,"InStock","Grey","Shoes","Men/Shoes",4.6,135
"FZ2853","Adilette Shower Slides",20,25,5,"InStock","Pink","Shoes","Women/Shoes",4.6,327
"GL0567","Essentials Loose Logo Tank Top",20,25,5,"InStock","White","Clothing","Women/Clothing",4.8,116
"GK3487","Conext 21 Mini Ball",10,14,4,"InStock","White","Accessories","Men/Accessories",5,10
"H42010","Essentials Logo Dress",32,35,3,"InStock","Purple","Clothing","Women/Clothing",4.7,49
"FW6528","Copa Sense.3 Turf Shoes",64,80,16,"InStock","White","Shoes","Men/Shoes",4.3,106
"GS4153","Best Version of Myself Slogan Graphic Tank Top",18,25,7,"InStock","Yellow","Clothing","Women/Clothing",4.4,7
"H07840","Essentials 3-Stripes Full-Zip Hoodie",44,55,11,"InStock","Green","Clothing","Women/Clothing",5,21
"H14698","Best Version of Myself Slogan Graphic Tank Top",20,25,5,"InStock","Black","Clothing","Women/Clothing",4.4,7
"H39753","adidas Sportswear Future Icons Logo Graphic Tee",24,30,6,"InStock","Blue","Clothing","Men/Clothing",4.6,78
"GX5152","FutureNatural Shoes",84,120,36,"InStock","Blue","Shoes","Men/Shoes",4.5,204
"H04458","Marvel Superhero Racer TR 2.0 Shoes",35,43,8,"InStock","Black","Shoes","Kids/Shoes",5,9
"H48444","Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket",40,50,10,"InStock","Blue","Clothing","Women/Clothing",4.7,14
"HG6676","Sherpa Jacket",120,150,30,"InStock","Black","Clothing","Women/Clothing",4,2
"HG6677","Sherpa Jacket",120,150,30,"InStock","White","Clothing","Women/Clothing",4,2
"GU3945","Yoga Pants",56,70,14,"InStock","Green","Clothing","Men/Clothing",4.8,20
"H30296","AEROREADY Designed 2 Move Feelready Sport Long Sleeve Tee",24,30,6,"InStock","Green","Clothing","Men/Clothing",4.7,104
"GK9081","Essentials French Terry 3-Stripes Hoodie",42,60,18,"InStock","Blue","Clothing","Men/Clothing",4.9,88
"GY5019","Fluidflash Shoes",60,85,25,"InStock","White","Shoes","Essentials/Shoes",4.2,120
"GM5537","Essentials Slim Logo Shorts",18,25,7,"InStock","Grey","Clothing","Women/Clothing",4.8,54
"GS1343","Essentials 3-Stripes Crop Top",20,25,5,"InStock","Black","Clothing","Women/Clothing",4,6
